parent_sku,product,full_product_name,color,sizes,variation_skus,copy_only_no_extension,website_filename,product_id
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Maron,,A44-marton,dairymaroon,dairymaroon.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Baby Blue,,A44-birumuda,dairybabyblue,dairybabyblue.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Ash Grey,,A44-abumuda,dairyashgrey,dairyashgrey.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Baby Blue Polkadot,,A44-polka,dairybluedot,dairybluedot.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Putih Polkadot,,A44-polka,dairyputihdot,dairyputihdot.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Hitam,,A44-hitam,dairyhitam,dairyhitam.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Hitam Polkadot,,A44-polka,dairyhitamdot,dairyhitamdot.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Navy,,A44-navy,dairynavy,dairynavy.jpg,50261713792
A44,Dairy Atasan Wanita Korean Style,DAIRY Atasan Wanita Korean Style Ribbon Top Lengan Pendek | Baby Tee Pita Bahu | Kaos Rib Stretch Premium,Dusty Pink,,A44-pink,dairypink,dairypink.jpg,50261713792
A42,Kanita Polo Collar Knit Top,Kanita Polo Collar Knit Top Bordir Love Wanita Korean Style Soft Knit Premium Fit Body Casual,Coklat,XL/S/M/L,A42,kanitacoklat,kanitacoklat.jpg,49657072412
A42,Kanita Polo Collar Knit Top,Kanita Polo Collar Knit Top Bordir Love Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,S/L/M/XL,A42,kanitaputih,kanitaputih.jpg,49657072412
A42,Kanita Polo Collar Knit Top,Kanita Polo Collar Knit Top Bordir Love Wanita Korean Style Soft Knit Premium Fit Body Casual,Maron,XL/S/M/L,A42,kanitamaroon,kanitamaroon.jpg,49657072412
A42,Kanita Polo Collar Knit Top,Kanita Polo Collar Knit Top Bordir Love Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,XL/L/M/S,A42,kanitahitam,kanitahitam.jpg,49657072412
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Maroon,,A41-marun,lianamaroon,lianamaroon.jpg,48156316291
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A41-putih,lianaputih,lianaputih.jpg,48156316291
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A41-hitam,lianahitam,lianahitam.jpg,48156316291
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Dark Choco,,A41-coktu,lianadarkchoco,lianadarkchoco.jpg,48156316291
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Dusty Pink,,A41-pink,lianapink,lianapink.jpg,48156316291
A41,Liana V-Neck Cropped Blazer Cardigan,Liana V-Neck Cropped Blazer Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Navy,,A41-navy,liananavy,liananavy.jpg,48156316291
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Maroon,S/L/M,7018,rubymaroon,rubymaroon.jpg,47406330262
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Abu Tua,L/M/S,7018,rubyabutua,rubyabutua.jpg,47406330262
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Cokelat,S/M/L,7018,rubycoklat,rubycoklat.jpg,47406330262
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Hitam,S/M/L,7018,rubyhitam,rubyhitam.jpg,47406330262
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Khaki,M/L/S,7018,rubykhaki,rubykhaki.jpg,47406330262
7018,Ruby Coquette Bow Embroidery Crop,Ruby Coquette Bow Embroidery Crop Top V-Neck Collar Oval Hem Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Salem,L/S/M,7018,rubysalem,rubysalem.jpg,47406330262
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Hitam,,7020-htm,nalahitam,nalahitam.jpg,46609020149
